Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4360,,,Macauley,Kermadec Is,New Zealand,-30.21,-178.475,238,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-4350,,,Kikai,Ryukyu Is,Japan,30.793,130.305,704,Caldera,7,P,,3,,,,,,3,,3,,3,,,,,,3,,3
-4050,,,Masaya,Nicaragua,Nicaragua,11.985,-86.165,594,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-4000,,,Witori,New Britain-SW Pac,Papua New Guinea,-5.576,150.516,724,Caldera,6,T,,1,,,,,,1,,,,1,,,,,,1,,
-3580,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-3550,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-2420,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,T",,,,,,,,,,,,,,,,,,,,
-2040,,,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,6,,,,,,,,,,,,,,,,,,,,,
-1900,,,Black Peak,Alaska Peninsula,United States,56.552,-158.785,1032,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1890,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1860,,,St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1750,,,Veniaminof,Alaska Peninsula,United States,56.17,-159.38,2507,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1645,,,Aniakchak,Alaska Peninsula,United States,56.88,-158.17,1341,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-1610,,,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,7,W,,3,,,,,,3,,,,3,,,,,,3,,
-1550,,,Redoubt,Alaska-SW,United States,60.485,-152.742,3108,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
-1460,,,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-1370,,,Witori,New Britain-SW Pac,Papua New Guinea,-5.576,150.516,724,Caldera,6,,,,,,,,,,,,,,,,,,,,,
-1050,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-1010,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,5,,,3,,,,,,,,,,3,,,,,,,,
-455,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,4,M,,1,,,,,,,,,,1,,,,,,,,
-250,,,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
-197,,,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,3,,,,,,,,,,,,,,,,,,,,,
-150,,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,,,,3,,,,,,,,,,3,,,,,,,,
-141,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,40,1,,,,,,,,,40,1,,,,,,,,
-100,,,Okmok,Aleutian Is,United States,53.43,-168.13,1073,Shield volcano,6,,,,,,,,,,,,,,,,,,,,,
-50,,,Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518,Pyroclastic shield,6,,,,,,,,,,,,,,,,,,,,,
46,,,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,3,,,,,,,,,,,,,,,,,,,,,
50,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,6,,,,,,,,,,,,,,,,,,,,,
60,,,Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
79,8,25,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,T",2100,4,,,,,,,,,2100,4,,,,,,,,
200,,,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,,,,,,,,1,,,,,,,,,,1,,
233,,,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,6,,,,,,,,,,,,,,,,,,,,,
240,,,Ksudach,Kamchatka,Russia,51.844,157.572,1079,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
350,,,Augustine,Alaska-SW,United States,59.363,-153.43,1252,Lava dome,,,,,,,,,,,,,,,,,,,,,,
416,,,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,,W,,1,,,,,,1,,,,3,,,,,,4,,
450,,,Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,6,,30000,4,,,,,,,,,30000,4,,,,,,,,
500,,,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,,,,,,,,1,,,,,,,,,,1,,
590,,,San Salvador,El Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,,,,1,,,,,,,,,,1,,,,,,,,
640,,,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1920,Volcanic field,2,T,,1,,,,,,,,,,1,,,,,,,,
653,,,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.094,150.094,408,Caldera,6,,,,,,,,,,,,,,,,,,,,,
683,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,6,,,,,,,,,1,,,,,,,,,,,,
710,,,Witori,New Britain-SW Pac,Papua New Guinea,-5.576,150.516,724,Caldera,6,,,,,,,,,,,,,,,,,,,,,
764,,,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,4,"T,L",80,2,,,,,,,,,80,2,,,,,,,,
766,7,20,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,3,,,3,,,,,,,,,,3,,,,,,,,
787,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,,1,,,,,,1,,,,1,,,,,,1,,
847,,,Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
920,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,,,
930,,,Ceboruco,Mexico,Mexico,21.125,-104.508,2280,Stratovolcano,6,,,,,,,,,,,,,,,,,,,,,
934,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,4,,,,,,,,,1,,,,,,,,,,1,,
946,,,Changbaishan,China-E,North Korea,41.98,128.08,2744,Stratovolcano,7,,,,,,,,,,,,,,,,,,,,,
950,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,,,,,,,,,,1,,,,,,,,,,,,
1050,,,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,,,,,,,,,,,,,,,,,,,,,,
1104,10,15,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,5,,,,,,,,,1,,,,,,,,,,1,,
1151,,,Krysuvik-Trolladyngja,Iceland-SW,Iceland,63.917,-22.067,360,Crater rows,1,,,,,,,,,1,,,,,,,,,,1,,
1158,1,19,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
1169,2,4,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,"S,W",,,,,,,,,,,16000,4,,,,,,4,,
1169,2,11,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
1177,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,3,,,,,,,,,1,,,,,,,,,,1,,
1206,12,4,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
1250,,,Fentale,Africa-NE,Ethiopia,8.975,39.93,2007,Stratovolcano,,,,,,,,,,1,,,,,,,,,,,,
1262,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,3,F,,1,,,,,,,,,,1,,,,,,,,
1280,,,Quilotoa,Ecuador,Ecuador,-0.85,-78.9,3914,Caldera,6,,,,,,,,,1,,,,,,,,,,,,
1300,7,11,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,4,,,,,,,,,,,,600,3,,,,,,,,
1302,,,Ischia,Italy,Italy,40.73,13.897,789,Complex volcano,,,,1,,,,,,,,,,1,,,,,,,,
